,Unnamed: 0,Date,Price,Open,High,Low,SMA,RSI
6,6,2024-06-03,23263.9,23337.9,23338.7,23062.3,22775.22,64.42476893568261
7,7,2024-05-31,22530.7,22568.1,22653.75,22465.1,22708.93,64.8443886270062
8,8,2024-05-30,22488.65,22617.45,22705.75,22417.0,22794.21,60.97867647525596
9,9,2024-05-29,22704.7,22762.75,22825.5,22685.45,22890.01,57.82252655552565
10,10,2024-05-28,22888.15,22977.15,22998.55,22858.5,22868.63,57.061039491660445
11,11,2024-05-27,22932.45,23038.95,23110.8,22871.2,22796.810000000005,56.59544218966408
12,12,2024-05-24,22957.1,22930.75,23026.4,22908.0,22710.72,56.37004539596871
13,13,2024-05-23,22967.65,22614.1,22993.6,22577.45,22612.52,61.75301083713909
14,14,2024-05-22,22597.8,22576.6,22629.5,22483.15,22499.76,62.67533767575494
15,15,2024-05-21,22529.05,22404.55,22591.1,22404.55,22420.31,63.04570567948221
16,16,2024-05-18,22502.0,22512.85,22520.25,22470.05,22358.07,63.56422771117571
17,17,2024-05-17,22466.1,22415.25,22502.15,22345.65,22278.480000000003,64.50144917067087
18,18,2024-05-16,22403.85,22319.2,22432.25,22054.55,22196.3,67.45539606534022
19,19,2024-05-15,22200.55,22255.6,22297.55,22151.75,22107.03,66.93850858653454
20,20,2024-05-14,22217.85,22112.9,22270.05,22081.25,22127.42,68.59207531443306
21,21,2024-05-13,22104.05,22027.95,22131.65,21821.05,22144.35,69.30168707580975
22,22,2024-05-10,22055.2,21990.95,22131.3,21950.3,22212.08,70.72322554308722
23,23,2024-05-09,21957.5,22224.8,22307.75,21932.4,22296.21,60.19531068638631
24,24,2024-05-08,22302.5,22231.2,22368.65,22185.2,22434.35,60.19531068638631
25,25,2024-05-07,22302.5,22489.75,22499.05,22232.05,22494.82,56.24981632053993
26,26,2024-05-06,22442.7,22561.6,22588.8,22409.45,22563.0,55.299505177969095
27,27,2024-05-03,22475.85,22766.35,22794.7,22348.05,22558.45,50.62576713091517
28,28,2024-05-02,22648.2,22567.85,22710.5,22567.85,22577.35,51.73249346721321
29,29,2024-04-30,22604.85,22679.65,22783.35,22568.4,22528.189999999995,50.64083033484231
30,30,2024-04-29,22643.4,22475.55,22655.8,22441.9,22480.82,56.46979846515482
31,31,2024-04-26,22419.95,22620.4,22620.4,22385.55,22419.42,52.076244359254986
32,32,2024-04-25,22570.35,22316.9,22625.95,22305.25,22364.83,56.21091055933911
33,33,2024-04-24,22402.4,22421.55,22476.45,22384.0,22249.93,57.00393980492648
34,34,2024-04-23,22368.0,22447.05,22447.55,22349.45,22199.03,57.77144891019679
35,35,2024-04-22,22336.4,22336.9,22375.65,22198.15,22179.93,62.22586264363993
36,36,2024-04-19,22147.0,21861.5,22179.55,21777.65,22216.53,65.35656889502094
37,37,2024-04-18,21995.85,22212.35,22326.5,21961.7,22337.89,60.03473978328623
38,38,2024-04-16,22147.9,22125.3,22213.75,22079.45,22467.27,56.02023455744166
39,39,2024-04-15,22272.5,22339.05,22427.45,22259.55,22570.95,49.04371930074147
40,40,2024-04-12,22519.4,22677.4,22726.45,22503.75,22619.19,43.51810381934994
41,41,2024-04-10,22753.8,22720.25,22775.7,22673.7,22618.24,46.630745021221024
42,42,2024-04-09,22642.75,22765.1,22768.4,22612.25,22554.41,46.07541280715479
43,43,2024-04-08,22666.3,22578.35,22697.3,22550.35,22516.52,50.40515563653188
44,44,2024-04-05,22513.7,22486.4,22537.6,22427.6,22475.66,50.40515563653188
45,45,2024-04-04,22514.65,22592.1,22619.0,22303.8,22438.3,52.72039874382913
46,46,2024-04-03,22434.65,22385.7,22521.1,22346.5,22360.1,52.13995915877589
47,47,2024-04-02,22453.3,22458.8,22497.6,22388.15,22274.11,51.83242354173597
48,48,2024-04-01,22462.0,22455.0,22529.95,22427.75,22202.8,56.08775278181415
49,49,2024-03-28,22326.9,22163.6,22516.0,22163.6,22112.79,61.5690369715768
50,50,2024-03-27,22123.65,22053.95,22193.6,22052.85,22015.23,64.35582652212412
51,51,2024-03-26,22004.7,21947.9,22073.2,21947.55,21953.99,60.68946647020488
52,52,2024-03-22,22096.75,21932.2,22180.7,21883.3,21964.189999999995,62.81666734097916
53,53,2024-03-21,22011.95,21989.9,22080.95,21941.3,21949.51,66.72905583104071
54,54,2024-03-20,21839.1,21843.9,21930.9,21710.2,21976.45,67.19588268247912
55,55,2024-03-19,21817.45,21946.45,21978.3,21793.1,22008.17,57.776552548591
56,56,2024-03-18,22055.7,21990.1,22123.7,21916.55,22111.82,58.65292988787378
57,57,2024-03-15,22023.35,22064.85,22120.9,21931.7,22167.21,54.141523901710016
58,58,2024-03-14,22146.65,21982.55,22204.6,21917.5,22261.250000000004,58.35389672761928
59,59,2024-03-13,21997.7,22432.2,22446.75,21905.65,22326.730000000003,47.90224357055032
60,60,2024-03-12,22335.7,22334.45,22452.55,22256.0,22398.450000000004,47.969727638619055
61,61,2024-03-11,22332.65,22517.5,22526.6,22307.25,22412.43,43.59201683575283
62,62,2024-03-07,22493.55,22505.3,22525.65,22430.0,22421.58,44.28144982746014
63,63,2024-03-06,22474.05,22327.5,22497.2,22224.35,22390.620000000003,48.28640452283008
64,64,2024-03-05,22356.3,22371.25,22416.9,22269.15,22292.37,46.790828092369686
65,65,2024-03-04,22405.6,22403.5,22440.9,22358.3,22211.340000000004,47.74367365826016
66,66,2024-03-02,22378.4,22406.95,22419.55,22367.05,22169.890000000003,49.21108985133786
67,67,2024-03-01,22338.75,22048.3,22353.3,22047.75,22118.620000000003,60.06183507606242
68,68,2024-02-29,21982.8,21935.2,22060.55,21860.65,22093.41,60.828287282652845
69,69,2024-02-28,21951.15,22214.1,22229.15,21915.85,22140.34,52.27479942540188
70,70,2024-02-27,22198.35,22090.2,22218.25,22085.65,22161.12,54.41316114592205
71,71,2024-02-26,22122.05,22169.2,22202.15,22075.15,22160.84,51.43086001197058
72,72,2024-02-23,22212.7,22290.0,22297.5,22186.1,22160.88,51.282599882504506
73,73,2024-02-22,22217.45,22081.55,22252.5,21875.25,22126.48,56.30292894275995
74,74,2024-02-21,22055.05,22248.85,22249.4,21997.95,22065.14,51.40512627034285
75,75,2024-02-20,22196.95,22099.2,22215.6,22045.85,22022.14,53.72307422290303
76,76,2024-02-19,22122.25,22103.45,22186.65,22021.05,21931.4,56.1652410475166
77,77,2024-02-16,22040.7,22020.3,22068.65,21968.95,21830.16,59.79533858360762
78,78,2024-02-15,21910.75,21906.55,21953.85,21794.8,21778.52,61.63990321093477
79,79,2024-02-14,21840.05,21578.15,21870.85,21530.2,21739.96,64.12451665837594
80,80,2024-02-13,21743.25,21664.3,21766.8,21543.35,21758.05,67.11835082750929
81,81,2024-02-12,21616.05,21800.8,21831.7,21574.75,21795.28,60.191107327616
82,82,2024-02-09,21782.5,21727.0,21804.45,21629.9,21826.41,61.87662849331642
83,83,2024-02-08,21717.95,22009.65,22011.05,21665.3,21840.67,53.94676376465142
84,84,2024-02-07,21930.5,22045.05,22053.3,21860.15,21836.57,54.01283591161217
